stage_name,condition_name,condition_slug,repeat_index,run_dir,config_file,preset_name,condition_fingerprint,rows,duration_seconds,failure_rate,selected_max_workers,context_recall,factual_correctness,faithfulness
stage0b4_combined_chunking_followup,docs_cs400_ov0_tickets_cs1000_ov80,docs_cs400_ov0_tickets_cs1000_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs400_ov0_tickets_cs1000_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs400_ov0_tickets_cs1000_ov80.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,633.586494,0.023810,28,0.645365,0.357463,0.494441
stage0b4_combined_chunking_followup,docs_cs400_ov0_tickets_cs1000_ov80,docs_cs400_ov0_tickets_cs1000_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs400_ov0_tickets_cs1000_ov80/run_03,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs400_ov0_tickets_cs1000_ov80.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,752.098209,0.042857,28,0.656596,0.316364,0.571408
stage0b4_combined_chunking_followup,docs_cs800_ov0_tickets_cs1000_ov80,docs_cs800_ov0_tickets_cs1000_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov0_tickets_cs1000_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov0_tickets_cs1000_ov80.yaml,naive_combined,65952151b1cd2066c6e3ee395414a3b40c97fe9829abb0146ba3cd3303d6728a,70,755.119276,0.114286,28,0.743159,0.312333,0.539278
stage0b4_combined_chunking_followup,docs_cs400_ov0_tickets_cs1000_ov80,docs_cs400_ov0_tickets_cs1000_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs400_ov0_tickets_cs1000_ov80/run_02,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs400_ov0_tickets_cs1000_ov80.yaml,naive_combined,11e334388bb0cf3ca58ed378804df21fd7fda31313313e61254c4185070703bd,70,526.979716,0.261905,28,0.679197,0.312157,0.591401
stage0b4_combined_chunking_followup,docs_cs800_ov80_tickets_cs1000_ov80,docs_cs800_ov80_tickets_cs1000_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov80_tickets_cs1000_ov80/run_03,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov80_tickets_cs1000_ov80.yaml,naive_combined,d5625d379e6403e1b90b7e417a167423e5cbc82c8db1e587f2264696f697fe8b,70,795.413284,0.023810,28,0.678978,0.309701,0.525231
stage0b4_combined_chunking_followup,docs_cs800_ov0_tickets_cs1000_ov80,docs_cs800_ov0_tickets_cs1000_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov0_tickets_cs1000_ov80/run_02,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov0_tickets_cs1000_ov80.yaml,naive_combined,65952151b1cd2066c6e3ee395414a3b40c97fe9829abb0146ba3cd3303d6728a,70,643.722533,0.123810,28,0.735117,0.307377,0.517885
stage0b4_combined_chunking_followup,docs_cs800_ov80_tickets_cs1000_ov80,docs_cs800_ov80_tickets_cs1000_ov80,1,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov80_tickets_cs1000_ov80/run_01,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov80_tickets_cs1000_ov80.yaml,naive_combined,d5625d379e6403e1b90b7e417a167423e5cbc82c8db1e587f2264696f697fe8b,70,753.699816,0.028571,28,0.622272,0.305909,0.509987
stage0b4_combined_chunking_followup,docs_cs800_ov80_tickets_cs1000_ov80,docs_cs800_ov80_tickets_cs1000_ov80,2,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov80_tickets_cs1000_ov80/run_02,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov80_tickets_cs1000_ov80.yaml,naive_combined,d5625d379e6403e1b90b7e417a167423e5cbc82c8db1e587f2264696f697fe8b,70,942.536229,0.104762,28,0.649237,0.303333,0.517104
stage0b4_combined_chunking_followup,docs_cs800_ov0_tickets_cs1000_ov80,docs_cs800_ov0_tickets_cs1000_ov80,3,/app/artifacts/experiments/protocol_final_3runs/stage0b4_combined_chunking_followup/docs_cs800_ov0_tickets_cs1000_ov80/run_03,/app/.polaris_experiment_stage0b4_combined_chunking_followup__docs_cs800_ov0_tickets_cs1000_ov80.yaml,naive_combined,65952151b1cd2066c6e3ee395414a3b40c97fe9829abb0146ba3cd3303d6728a,70,740.891229,0.038095,28,0.695527,0.291912,0.551471
